13825615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,15,172,18,632,134,3,4,73,0,647,20,19,505,65,10,39,19,391,22,117,168,98,38,491,106,1,61,175,3,163,160,37,134,42,29,19,37,122,15,33,63,32,1050,43,41,660,16,143,23,32,1059,0,0,0
239,19,183,18,742,115,9,15,81,0,702,32,68,600,84,20,49,23,325,26,99,216,95,35,523,90,5,68,187,4,189,142,47,141,43,55,29,38,157,12,54,44,59,1061,29,40,754,34,170,31,21,1258,0,0,0
232,11,240,17,766,152,15,14,74,0,793,14,64,644,76,10,43,25,402,27,173,209,81,33,534,94,5,94,171,17,191,126,53,116,32,84,70,36,161,25,28,43,61,1090,36,45,758,28,134,69,23,1175,0,0,0
274,18,233,12,666,175,16,19,101,0,881,27,58,623,76,9,53,27,326,22,146,228,152,42,538,91,1,60,241,10,216,190,53,136,18,57,48,52,133,22,31,44,51,1117,46,47,763,30,173,53,22,1207,0,0,0
342,13,312,57,887,193,19,9,95,0,1033,27,88,625,107,18,49,38,492,9,147,225,138,50,550,100,1,11,204,17,113,151,80,169,38,149,49,57,181,34,32,43,64,1218,54,34,729,24,196,60,25,1325,0,0,0
419,19,239,58,906,139,14,25,69,0,1390,19,62,651,97,21,74,34,463,22,128,187,139,45,649,106,6,105,75,16,169,186,78,115,43,86,76,54,184,30,32,39,76,1310,40,33,888,40,201,55,23,1557,0,0,0
434,18,284,74,1020,137,22,12,52,0,1938,23,98,661,104,21,63,78,539,33,156,236,109,44,764,101,3,85,294,16,158,228,79,122,30,95,103,44,170,35,33,59,86,1121,53,53,898,44,224,59,36,1810,0,0,0
360,10,251,53,729,108,11,12,60,0,1801,128,99,622,72,8,61,63,433,27,128,198,92,47,786,78,10,15,299,8,143,194,58,102,27,48,64,25,144,31,23,37,65,964,37,46,987,21,133,36,17,1971,0,0,0
467,8,371,62,939,168,19,11,135,0,1315,34,86,659,109,26,66,111,443,23,167,260,88,51,829,132,1,99,325,7,144,234,244,170,18,59,64,27,217,51,37,62,106,1273,66,52,970,35,159,71,29,2411,0,0,0
656,14,517,44,1072,154,23,9,100,0,1685,42,81,732,112,28,86,90,492,26,153,272,85,37,878,113,1,91,394,12,183,200,303,132,11,55,51,33,203,42,29,64,122,1165,89,48,982,33,158,70,20,2524,0,0,0
1245,21,488,89,1170,174,20,12,125,0,2254,41,54,775,98,41,84,77,450,20,175,316,106,59,1529,126,2,111,440,4,210,221,357,119,6,69,111,35,196,30,41,51,121,1350,78,50,945,14,121,31,15,3113,0,0,0
1297,15,454,77,1057,123,19,13,110,0,2489,19,102,1039,100,44,75,148,588,25,174,268,74,39,1775,154,1,62,495,10,264,232,388,107,4,72,85,43,214,38,31,69,145,1418,43,45,1260,6,87,17,62,3819,0,0,0
1274,21,344,61,916,160,13,19,101,0,2064,32,90,1251,136,28,81,134,1307,25,199,258,83,34,1570,181,3,85,624,8,199,259,349,158,0,80,142,45,243,44,57,67,188,1293,42,63,1466,30,103,29,60,3625,0,0,0
1191,12,411,122,1190,199,25,30,143,0,1723,48,95,1172,168,13,101,135,922,31,219,328,96,61,1139,173,0,102,588,17,224,241,352,289,4,153,100,48,257,32,94,78,178,1524,37,75,1596,35,135,27,39,3297,0,0,0
1195,28,447,166,1354,202,34,104,146,0,1133,41,115,1280,256,21,79,98,989,27,219,407,127,47,899,194,5,86,618,11,273,250,383,469,2,189,180,66,322,19,140,91,237,1950,58,57,1835,33,128,29,51,2840,0,0,0
1624,36,604,271,1324,236,43,81,105,0,1288,57,162,1664,510,44,148,224,1684,39,344,370,149,82,1062,189,5,108,664,20,307,312,356,910,14,273,345,62,439,23,171,124,390,2518,143,73,2719,16,207,42,105,2588,0,0,0
1938,33,756,335,1768,406,38,84,106,0,1629,68,170,1991,902,101,291,365,1035,64,322,512,252,100,1146,322,6,164,772,22,321,452,437,1260,19,437,511,86,681,55,414,150,652,3381,48,89,3294,46,313,101,152,2302,0,0,0
1504,49,682,296,1747,486,71,91,106,0,1828,63,200,1857,826,102,286,496,2251,79,381,577,230,119,1142,318,23,156,775,24,384,437,528,1370,25,555,287,55,758,81,726,155,841,3086,133,97,3859,75,438,121,145,2198,0,0,0
1586,41,769,285,1987,548,96,99,108,0,1908,81,224,1774,832,81,341,465,1596,100,339,697,384,125,1020,395,10,126,756,40,412,454,572,1406,29,418,170,89,687,149,616,185,791,3280,299,116,3731,63,524,135,167,2354,0,0,0
1450,69,770,410,2036,654,109,125,78,0,1835,97,301,1739,844,105,397,329,1656,150,269,726,375,162,1089,528,20,156,784,37,351,625,537,1305,48,409,176,94,663,189,456,275,781,4821,152,128,3743,114,727,130,125,2475,0,0,0
1200,65,681,271,1775,637,110,101,35,0,1596,88,287,1568,664,107,403,459,1102,101,213,618,428,140,865,466,28,300,762,37,421,516,420,962,57,316,185,59,591,286,364,244,446,3641,90,100,3184,94,765,120,107,2397,0,0,0
737,116,454,308,2007,591,76,89,55,0,1048,94,290,1579,509,101,350,291,602,123,199,532,291,161,677,344,32,261,535,47,440,413,328,522,67,273,129,68,485,175,241,242,369,2401,66,82,2411,98,596,149,106,1885,0,0,0
593,87,443,109,1853,451,37,73,63,0,794,61,299,1345,342,55,255,144,596,73,177,585,353,133,621,336,22,192,619,28,247,347,313,381,89,236,108,76,368,148,141,215,223,1784,154,89,1825,82,324,148,71,1723,0,0,0
390,62,310,129,1598,387,37,43,61,0,775,73,202,1284,235,66,147,96,695,68,146,481,249,128,581,200,28,87,564,24,201,324,339,298,44,190,83,52,328,84,113,168,176,1231,142,62,1561,73,304,129,46,1676,0,0,0
334,48,276,63,1111,289,15,22,83,0,665,24,177,1045,217,25,96,79,585,55,142,424,216,116,513,184,30,48,490,20,183,254,254,226,47,90,47,35,253,50,62,153,74,1082,123,52,1210,76,159,33,34,1605,0,0,0
291,51,272,65,1160,192,41,41,67,0,581,42,102,985,119,12,83,127,392,48,104,459,176,109,560,131,14,31,436,26,239,224,242,175,19,112,25,47,244,54,55,131,88,968,98,55,1173,42,136,57,44,1587,0,0,0
252,49,246,23,927,182,16,19,3,0,549,43,107,851,107,22,70,44,467,47,116,399,117,105,515,109,6,29,408,10,185,200,251,105,15,71,45,38,264,47,51,69,88,827,54,60,1028,18,103,44,35,1657,0,0,0
189,31,222,12,918,167,8,4,1,0,485,26,107,616,68,14,51,43,242,33,118,364,92,68,520,93,8,38,290,3,140,137,236,115,16,51,16,30,213,35,39,44,60,770,75,56,722,25,75,34,21,1326,0,0,0
194,31,257,18,736,153,8,3,1,0,490,34,51,640,53,10,46,28,219,25,130,291,97,57,438,64,1,28,372,2,136,155,197,60,6,36,14,37,144,27,36,49,65,683,40,37,774,33,69,9,23,1293,0,0,0
207,17,241,12,784,177,10,1,0,0,468,22,68,526,53,12,48,35,308,23,69,247,77,44,420,43,0,13,275,7,189,141,123,49,4,39,8,31,142,45,15,41,44,605,17,36,635,16,60,18,14,1073,0,0,0
198,17,181,14,734,151,4,3,0,0,446,8,58,479,46,5,32,72,184,25,83,244,79,24,355,38,0,9,273,3,93,135,153,50,4,68,7,29,141,25,12,27,10,662,26,40,672,16,37,18,7,1054,0,0,0
180,7,156,10,672,113,3,1,0,0,488,18,50,575,59,3,31,19,107,25,72,200,84,22,378,54,0,7,250,3,102,132,164,50,1,39,8,28,120,3,3,28,7,730,26,52,705,11,38,8,18,1170,0,0,0
161,6,124,6,700,118,2,2,40,0,491,19,65,392,43,3,39,18,178,16,55,214,92,26,334,41,0,8,64,3,162,121,57,37,4,48,5,31,113,1,7,22,5,574,31,38,709,8,34,15,10,1018,0,0,0
167,14,137,12,583,112,1,0,37,0,373,24,50,381,35,2,25,8,165,21,77,248,56,21,342,43,0,3,50,1,162,76,99,41,0,27,4,19,95,1,14,22,2,459,17,22,617,2,37,9,4,1178,0,0,0
134,7,104,13,581,88,2,0,40,0,414,11,66,516,48,1,19,33,121,23,41,202,51,14,392,2,0,3,51,1,118,75,88,39,2,38,1,19,98,1,6,19,2,487,10,18,629,2,33,8,4,1076,0,0,0
144,11,97,11,588,84,1,0,47,0,300,13,52,392,31,0,18,6,152,18,70,254,69,17,349,3,0,5,71,0,151,58,8,34,0,20,4,15,111,1,9,18,6,391,16,20,580,3,28,2,4,1104,0,0,0
149,10,80,8,461,70,0,0,47,0,249,11,44,311,30,0,6,12,162,17,100,218,65,15,300,1,0,1,58,0,106,64,5,31,0,5,5,18,75,1,7,23,2,434,17,10,548,1,36,2,6,1070,0,0,0
96,14,86,3,436,55,0,0,32,0,214,17,46,307,21,0,14,10,149,15,66,177,52,29,276,8,0,2,53,1,117,45,7,27,0,6,0,23,81,1,5,16,3,378,12,20,458,0,16,9,5,908,0,0,0
112,10,81,3,426,45,0,0,37,0,168,18,49,379,31,0,4,34,145,19,63,155,54,11,212,3,0,1,42,1,43,39,7,29,1,22,3,14,64,1,9,13,1,323,23,11,452,0,17,9,2,899,0,0,0
88,9,82,2,343,64,0,0,27,0,222,28,31,372,26,1,4,5,65,31,63,138,36,26,268,4,0,1,26,0,9,53,2,26,0,20,3,10,82,2,9,20,1,333,17,12,444,0,20,5,3,838,0,0,0
109,12,95,2,383,56,0,0,42,0,173,22,22,244,14,0,4,5,119,24,74,167,45,12,244,3,0,1,33,0,8,46,3,19,0,6,2,10,55,0,4,21,1,384,5,12,357,0,14,7,4,729,0,0,0
74,6,77,0,327,75,0,0,39,0,154,16,32,335,19,0,14,26,180,25,67,163,38,15,287,2,0,2,30,1,4,57,7,13,0,8,2,6,60,2,4,18,1,260,14,16,353,0,6,3,3,629,0,0,0
77,8,67,1,303,70,0,0,35,0,181,20,20,356,18,0,14,2,169,19,46,154,30,4,235,1,0,4,34,0,11,45,7,17,0,3,2,10,54,0,14,24,0,298,8,15,369,0,9,5,2,674,0,0,0
14,7,91,0,91,93,0,0,41,0,186,2,13,351,14,1,6,23,109,14,78,153,41,18,225,3,0,1,38,1,13,52,8,11,5,13,1,8,50,1,6,22,2,317,4,14,320,0,5,1,2,630,0,0,0
111,9,69,5,295,69,0,0,27,0,241,8,23,316,12,1,8,0,113,15,55,164,35,12,247,1,0,2,30,0,16,50,6,11,7,14,0,9,62,0,5,18,2,302,12,15,355,0,8,5,3,653,0,0,0
130,6,98,2,284,77,2,0,35,0,284,7,24,370,17,0,2,2,121,18,52,142,42,8,304,1,0,5,31,1,13,54,7,23,8,4,6,8,56,0,4,15,6,372,11,26,409,0,13,2,5,620,0,0,0
