4718 ,7048 ,4530 ,7932 ,7472 ,5212 ,1488 ,4318 ,2683 ,8209 
3722 ,7801 ,9712 ,5176 ,9356 ,3883 ,3855 ,1909 ,8818 ,4417 
6103 ,4574 ,9218 ,3305 ,3455 ,5935 ,5883 ,8793 ,2807 ,3450 
5498 ,3546 ,4752 ,7932 ,970 ,9922 ,7914 ,1546 ,5686 ,4699 
1883 ,7571 ,5428 ,9189 ,2956 ,5705 ,941 ,2493 ,1031 ,3968 
1877 ,8431 ,4481 ,8441 ,7846 ,3351 ,6672 ,951 ,5182 ,7574 
2978 ,3108 ,8570 ,6810 ,3584 ,8453 ,8616 ,1046 ,2146 ,4529 
3939 ,8270 ,4048 ,5930 ,4935 ,6415 ,6521 ,8721 ,1285 ,5104 
5336 ,2323 ,7294 ,4891 ,9790 ,5840 ,2059 ,4105 ,5383 ,571 
514 ,8570 ,599 ,2206 ,629 ,2301 ,2248 ,5794 ,8699 ,642 
5713 ,5311 ,5136 ,7788 ,3571 ,2335 ,2015 ,8252 ,7256 ,3923 
4514 ,2732 ,4930 ,4916 ,3041 ,4160 ,9729 ,3576 ,3672 ,3007 
8760 ,3802 ,1221 ,6235 ,1382 ,3603 ,2245 ,1576 ,9668 ,3154 
6350 ,5628 ,4310 ,4648 ,7786 ,4698 ,4656 ,1791 ,6191 ,1618 
2771 ,8452 ,8362 ,1131 ,4885 ,430 ,1665 ,7224 ,3831 ,2202 
4211 ,2425 ,5617 ,9640 ,980 ,2861 ,4929 ,930 ,9663 ,668 
6230 ,6847 ,6739 ,8558 ,3106 ,2825 ,6401 ,624 ,4958 ,4657 
9061 ,1278 ,2684 ,4447 ,8706 ,6312 ,8843 ,8631 ,1290 ,8963 
3678 ,480 ,551 ,9789 ,5754 ,8623 ,1530 ,5413 ,1955 ,6657 
4111 ,3409 ,1969 ,5874 ,6158 ,6247 ,1450 ,107 ,1907 ,3764 
2723 ,2472 ,6876 ,3892 ,6094 ,4477 ,4458 ,6315 ,1732 ,1855 
797 ,2868 ,1389 ,7744 ,6347 ,8267 ,6613 ,3663 ,826 ,1362 
7024 ,2648 ,50 ,4703 ,5149 ,8851 ,2836 ,7237 ,9920 ,936 
1186 ,1893 ,8207 ,471 ,49 ,5815 ,2030 ,7281 ,3503 ,7670 
4986 ,877 ,5893 ,5981 ,4836 ,8734 ,6307 ,4355 ,4440 ,7077 
375 ,6671 ,6431 ,9820 ,5653 ,8102 ,8628 ,8180 ,9705 ,2820 
7667 ,8470 ,5944 ,1470 ,5224 ,4491 ,8475 ,3778 ,8579 ,7580 
9362 ,2895 ,3422 ,3227 ,672 ,6228 ,6640 ,5250 ,4367 ,5497 
6247 ,103 ,4931 ,9470 ,2295 ,9689 ,6118 ,8220 ,4180 ,7704 
6653 ,6953 ,2554 ,5553 ,1987 ,7137 ,7399 ,3404 ,7498 ,3599 
5192 ,102 ,7791 ,361 ,8535 ,2536 ,6134 ,9561 ,2755 ,2916 
9576 ,1443 ,5703 ,5227 ,6276 ,234 ,9519 ,7183 ,2471 ,5428 
7190 ,2098 ,9537 ,5292 ,7238 ,3678 ,6651 ,2246 ,9136 ,4717 
2079 ,1139 ,162 ,8690 ,2789 ,5723 ,8005 ,5892 ,4668 ,8388 
8964 ,7264 ,6826 ,4015 ,3726 ,5854 ,1657 ,9673 ,2065 ,5541 
823 ,9442 ,7681 ,2349 ,1239 ,8971 ,2931 ,9480 ,6119 ,2857 
8204 ,5187 ,7125 ,1627 ,1980 ,2928 ,1957 ,3040 ,2057 ,2531 
229 ,1350 ,1356 ,5649 ,7873 ,7231 ,4070 ,1658 ,9843 ,4601 
5294 ,6011 ,2123 ,9712 ,919 ,5289 ,6753 ,2917 ,37 ,711 
703 ,5337 ,1294 ,4841 ,6571 ,3791 ,2550 ,8987 ,2768 ,2829 
3216 ,4210 ,8618 ,2312 ,2168 ,6501 ,5591 ,9632 ,9245 ,4954 
5092 ,1206 ,9105 ,5788 ,6889 ,3614 ,1652 ,3405 ,8744 ,8082 
4020 ,1122 ,4785 ,8940 ,4595 ,8687 ,8017 ,2289 ,2114 ,9566 
6667 ,140 ,8899 ,320 ,7135 ,6828 ,9509 ,362 ,5933 ,7674 
4653 ,1448 ,7965 ,8285 ,2044 ,1220 ,3831 ,5654 ,9191 ,5121 
9225 ,7207 ,1785 ,9040 ,4994 ,2935 ,7172 ,2531 ,5838 ,8674 
5871 ,2586 ,6597 ,5103 ,2918 ,3395 ,9347 ,3108 ,267 ,6833 
3689 ,6354 ,2896 ,2074 ,5785 ,2497 ,7286 ,7222 ,3715 ,697 
4120 ,8065 ,3686 ,5296 ,7284 ,9170 ,314 ,480 ,2729 ,3319 
8824 ,7283 ,2432 ,2574 ,3496 ,714 ,2461 ,2116 ,678 ,1888 
9295 ,9078 ,2612 ,2930 ,6319 ,2309 ,4711 ,5570 ,9872 ,2244 
7709 ,8132 ,571 ,3126 ,3311 ,7611 ,8304 ,3375 ,2851 ,3846 
5997 ,4316 ,3765 ,5042 ,7655 ,5406 ,6388 ,9065 ,238 ,5892 
69 ,1431 ,8844 ,3957 ,6540 ,8609 ,4592 ,5949 ,3818 ,5635 
5797 ,5370 ,4749 ,7148 ,8351 ,6048 ,9444 ,4294 ,9915 ,1419 
2385 ,4548 ,933 ,241 ,3690 ,1925 ,777 ,1725 ,1120 ,1541 
4210 ,5711 ,4575 ,1108 ,7377 ,4774 ,2518 ,9855 ,5120 ,5691 
2456 ,3799 ,3513 ,6188 ,5431 ,2337 ,1470 ,2474 ,9140 ,8594 
2303 ,9522 ,4854 ,4980 ,5831 ,7274 ,2557 ,1526 ,226 ,6409 
7485 ,8886 ,6579 ,7935 ,5458 ,4883 ,9305 ,3082 ,8 ,6984 
